id,name,created_at,updated_at,state_id,sanitary_zone_id
1,Confluencia,18 de Enero de 2021 15:20,22 de Enero de 2021 12:41,1,1
2,Los Lagos,18 de Enero de 2021 15:21,22 de Enero de 2021 12:38,1,5
3,Lacar,18 de Enero de 2021 15:21,22 de Enero de 2021 11:58,1,5
4,Huiliches,18 de Enero de 2021 15:22,22 de Enero de 2021 12:02,1,5
5,Catán Lil,18 de Enero de 2021 15:23,22 de Enero de 2021 12:39,1,5
6,Chos Malal,18 de Enero de 2021 15:25,22 de Enero de 2021 11:59,1,4
7,Añelo,18 de Enero de 2021 15:25,22 de Enero de 2021 12:39,1,6
8,Aluminé,18 de Enero de 2021 15:27,22 de Enero de 2021 12:40,1,3
9,Collón Curá,18 de Enero de 2021 15:28,22 de Enero de 2021 12:51,1,6
10,Loncopué,18 de Enero de 2021 15:29,22 de Enero de 2021 12:46,1,3
11,Minas,18 de Enero de 2021 15:30,22 de Enero de 2021 12:49,1,4
12,Ñorquín,18 de Enero de 2021 15:31,22 de Enero de 2021 12:50,1,3
13,Pehuenches,18 de Enero de 2021 15:32,22 de Enero de 2021 12:50,1,4
14,Picún Leufú,18 de Enero de 2021 15:32,22 de Enero de 2021 12:50,1,6
15,Picunches,18 de Enero de 2021 15:33,22 de Enero de 2021 12:51,1,3
16,Zapala,18 de Enero de 2021 15:33,22 de Enero de 2021 11:59,1,3
